ID	Age	Sex	Valence	ValenceNum	Framing	FramingNum	emot_option_sure	emot_option_risk	risky_choice	valence_pre	excitation_pre	fear_pre	amusement_pre	sadness_pre	disgust_pre	anger_pre	joy_pre	valence_post	excitation_post	fear_post	amusement_post	sadness_post	disgust_post	anger_post	joy_post
91	26	male	Neutral	0	Loss	1	2	2	0	4	2	1	4	1	1	1	5	4	2	1	4	1	1	1	5
92	33	male	Joy	1	Loss	1	2	2	1	5	3	1	4	1	1	1	7	5	4	1	5	2	1	1	8
93	44	male	Sad	2	Loss	1	1	3	1	4	1	1	5	1	1	1	5	2	4	1	2	4	1	3	3
94	46	female	Neutral	0	Gain	2	4	2	0	4	4	1	5	1	1	1	5	4	4	1	5	1	1	1	5
95	39	male	Joy	1	Gain	2	4	3	0	4	1	1	2	1	1	1	4	4	2	1	5	2	1	1	6
96	28	male	Sad	2	Gain	2	3	1	0	5	1	1	6	1	1	1	6	1	5	3	2	6	3	2	2
97	29	male	Neutral	0	Loss	1	3	4	1	4	4	1	7	1	1	1	7	5	3	1	5	1	1	1	7
98	29	female	Joy	1	Loss	1	3	2	0	4	2	1	4	1	1	1	5	4	3	1	5	1	1	1	7
99	25	female	Sad	2	Loss	1	1	3	1	4	1	1	3	1	1	1	5	2	4	1	2	6	2	2	3
1	20	female	Neutral	0	Loss	1	2	2	0	4	3	2	6	1	3	1	7	3	4	5	6	1	1	1	4
10	32	male	Neutral	0	Gain	2	3	2	1	4	3	5	8	5	1	3	5	3	3	2	4	2	2	1	4
100	57	female	Neutral	0	Gain	2	4	3	1	4	3	1	8	2	1	1	8	4	1	1	7	1	1	1	7
11	26	female	Joy	1	Gain	2	4	4	0	4	2	3	4	3	1	2	4	4	2	2	5	2	1	2	4
12	34	female	Sad	2	Gain	2	3	3	0	4	2	5	5	6	6	6	5	2	3	5	4	7	5	5	4
13	25	female	Neutral	0	Loss	1	3	4	1	3	3	5	5	6	5	5	5	3	2	5	5	6	5	5	5
14	19	female	Joy	1	Loss	1	1	2	1	3	1	2	8	1	1	1	7	5	2	1	9	1	1	1	9
15	21	female	Sad	2	Loss	1	2	1	0	2	5	5	5	5	5	7	4	2	3	5	3	7	5	5	4
16	30	male	Neutral	0	Gain	2	4	4	0	3	3	5	5	5	5	5	5	4	2	2	5	2	5	5	5
